overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote
3,FALSE,"03 17, 2014",A39ZKTTKRJEJJV,B003O6ECOM,{'Format:': ' Video Game'},Les,"I have played this game for about 1900 hrs.  It is fun if you don't take it seriously.  I love driving the tracks while enjoying the scenery.  The music is annoying and you have no choice to play your own.  Here are some issues I've consistently feel upset about, but ignore.

1. Using triple screens causes the sun to completely blind you in certain tracks.  I've read this is caused by a Frostbyte game engine setting.

2. Vehicle selection is decent, but you can't customize any vehicle.  You can choose from limited presets and liveries, but it does not alter the performance.

3. Vehicle physics and dynamics are OK for arcade.  However, cars do tend to fly up in the air and bounce off obstacles like rubber toys.

4. Traffic is rigged to collide with your vehicle.  Creep, stalk and ambush is the order of the day for the bot vehicles roaming the streets!

5. The story is good in concept, but brutally dumb in execution.  Get mentally prepared to race the same characters you had previously beaten or killed without explanation as you get closer to New York.  Why?  Because they said, that's why.

6. Cop cars have extraterrestrial engines able to develop infinite horsepower on demand without being affected by silly earthly gravity.  You'll also be forced to watch each take-down in SLOW motion because the designers thought it would be 'cool' to distract the driver during a race or chase.  Perfect!

7. There was minimal effort spent designing the multiplayer user interface.  The controls are limited and counter intuitive, as if designed for infants.

For example:
  a. To mute other players, you must do so during the race, which forces you to fall behind or crash.  This was an after-thought released in patch.  Brilliant!

  b. Good luck trying to chat with your friends after a race.  The arrogant designers decided they would force players to endure listening to their annoying music after every race race without providing options to mute it.  Nice Nazi approach EA!

  c. Voting for race sets is a joke!  Out of two set choices displayed side-by-side, if votes are tied, the system was programmed to pick the one on the left instead of randomizing.  Seriously dumb?

 d. No Vote-Kick system was even crudely implemented to rid of mentally challenged players who are just out to ruin races.  And, no support to ban these viruses' accounts either.  No need to waste money on nonsense like that, we live in a perfect world!

8. Constant lag when other players strike objects triggers the infamous rubber-banding effect which causes cars to have seizures, eventually hitting your car.  If you're lucky this will only slow your car, but more often destroying it.

9.  Recently the servers have been partially down rendering chat, mottoes, avatars and backgrounds useless.","If you like good looking Arcade racing games, buy this at a discount.",1395014400,
4,TRUE,"03 11, 2014",A2605SYZXD6O84,B003O6ECOM,{'Format:': ' Video Game'},L. Odametey,I like most need for speed games. This one was just as good a game as the others I have played.,NFS,1394496000,
5,TRUE,"03 3, 2014",A1VCMJAQSCA3B9,B003O6ECOM,{'Format:': ' Video Game'},Luisana Cabrera,"Played it with my husband and then lend it to my dad and my brother, and all match the same. I also buy the of Hot Pursuit, and between the two, this is much better, there are variety of cars and pictures look very real.",The best game!!,1393804800,
5,TRUE,"01 27, 2014",A3O28ROA682IZK,B003O6ECOM,{'Format:': ' Video Game'},any,"excellent product fulfills all my expectations.
recommend their quality is very good and the price even better.
I will continue buying him his sevice and attention no comparison.",Excellent product... I loved,1390780800,
3,TRUE,"01 19, 2014",AHT6CHJ89FWJE,B003O6ECOM,{'Format:': ' Video Game'},Russell,I thought it would be a lil better. It needs more stuff to be able to do and it would be better,not that good,1390089600,
4,TRUE,"01 13, 2014",A1LI7XSRB45N9W,B003O6ECOM,{'Format:': ' Video Game'},williamandakid,"Personally, I enjoy the game play on NFS: The Run. It feels smooth and is intuitive. The courses have a beautiful look and are a lot of fun to play. The only issue I have with this game is the story. It is just lacking and unrealistic...if that's even fair to say about a video game. From course to course the objectives change between gaining a certain number of positions to picking up lost time or just defeating one particular opponent. They are sort of strung together because they have to be but they don't really have any flow or make sense. There is really no connection to the protagonist that you are playing as. There are scenes on the game that require you to get out of the car and run or escape some situation or person. They are awkward and out of place mini games.

The multiplayer is fun except you cannot set up a race just between you and a friend. You are forced to play in sessions with as many as eight other players.",Good racing but lacking story.,1389571200,
5,TRUE,"01 6, 2014",A1CDRPKTOARY6Q,B003O6ECOM,{'Format:': ' Video Game'},Matthew Hewlett,"If you bought it in a store, it would be the same. It's an awesome game, almost in the style of an action movie, very visually pleasing.",It's a game,1388966400,
5,TRUE,"01 6, 2014",A19JKDAMQNJUVZ,B003O6ECOM,{'Format:': ' Video Game'},Mercury,great game,Five Stars,1388966400,
5,TRUE,"01 5, 2014",ACRWL0Z4RM20Z,B003O6ECOM,{'Format:': ' Video Game'},Angelia Sorjanen,Shipped in time for christmas. My grandson right now this is the only game he is playing even though he got others 4 christmas,awsome game,1388880000,
4,TRUE,"01 4, 2014",ACWQDPM2H19LQ,B003O6ECOM,{'Format:': ' Video Game'},Linda Kelley,"My youngest son has been a fan of ""Need for Speed"" for MANY years - he loves these! Thanks for making his Christmas a good one",Fast and Furious,1388793600,
1,TRUE,"04 5, 2013",A2KDZACVW9O1,B003O6EAM6,{'Format:': ' Video Game'},Ohiozx3,"horribly glitchy game, lots of wrong players names, and alof of players names aren't even in the game. instead of calling the QB by his name they just say the quarterback, unless its a big name like brady or manning.",pass,1365120000,
5,TRUE,"04 3, 2013",A8VWIO1GMYJBU,B003O6EAM6,{'Format:': ' Video Game'},Amazon Customer,Loved the fast service and the ease of ordering. The go to place for games and other things. Will be ordering again soon.,great service,1364947200,
5,TRUE,"03 28, 2013",A3BP3QZ24NSB6N,B003O6EAM6,{'Format:': ' Video Game'},Thanks,THE PRICE i can not beat at all. My man enjoy this game he plays it all day after work. Again another game in great shape.,A Gift For Hubbie,1364428800,
5,TRUE,"03 27, 2013",A3L03MHXCBPX2Z,B003O6EAM6,{'Format:': ' Video Game'},7burg,"I sold Madden 13 and went back Madden 12 because the gameplay is better. Hopefully next year's is better, but for now, 12 is the best Madden out there.",Great game.,1364342400,2
5,TRUE,"03 13, 2013",A2KKFS9R6VRU5G,B003O6EAM6,{'Format:': ' Video Game'},Irish4U,"Between the X-box 360 games that my kids have, this one gets played the most.  First thing, after finishing his homework, and before and after dinner, my son has the MADDEN NFL 12 game playing until bedtime.  The only time he's not playing is when I tell him to let his sister play something or there's something special they both want to watch on TV.  I would strongly recommend MADDEN NFL 12 to anyone who likes football.  Good graphics and very realistic!",Good Choice!,1363132800,
4,TRUE,"02 27, 2013",A2BJT6NP0X6YI,B003O6EAM6,{'Format:': ' Video Game'},Jose Villarreal,"follows a good trend of the Madden series, should be fun for anyone that enjoys any of the Madden games.",solid games,1361923200,
5,TRUE,"02 21, 2013",A1WS7R0NE13XIW,B003O6EAM6,{'Format:': ' Video Game'},CB,Not much to say but it is fun to play with. Keeps me up all night. I got a used one but it works perfectly fine.,Enjoying!,1361404800,
3,FALSE,"02 19, 2013",AU93DWNA9AKEG,B003O6EAM6,{'Format:': ' Video Game'},guppyfan,"Madden 12 had great new modes with all 32 NFL teams' full rosters. There are two game modes I want to discuss with their pros and cons.

 The first, and my favorite, game mode is Franchise Mode where you can pick your favorite NFL team(s) and draft players existing and non-existing in a fantasy draft. The cons on this game mode are that it gets old after a while and that there aren't any add-ons for this mode.

 Second, the NFL Superstar Mode, allows you to create your own player, his build, position, and number. This is fun at first but gets old doing the same thing over and over again and there obviously wasn't much work put into this mode, a disappointing example of this is that it may appear that you will be allowed to return kicks as a KR but won't allow you to do so.

 I will conclude with my thoughts on the gameplay. The gameplay overall is smooth, passes are harder to complete but a lot smoother than the previous maddens. Running the ball is a lot of fun but sometimes easy, catching is smoother. Overall I enjoyed this game.",Brief review for Madden 12,1361232000,
5,TRUE,"02 11, 2013",A3BTKVB650YCCZ,B003O6EAM6,{'Format:': ' Video Game'},KAE,"Great game for my son!  He loves it and spends hours playing it with siblings and by himself.  He is 8 years old and does not need alot of assistance with this game, so it seems age appropriate.",FUN,1360540800,
5,TRUE,"02 7, 2013",A286QJPMBP4TP0,B003O6EAM6,{'Format:': ' Video Game'},Antoine,the game is just like the real game couldn't ask for more i would recommend to all my friends and not my friends,nfl,1360195200,
5,TRUE,"11 8, 2015",A3U6SFFJB53OU4,B003O6EB70,{'Format:': ' Video Game'},Ashley,"Perfect condition, will make an awesome gift.",Five Stars,1446940800,
5,TRUE,"10 30, 2015",A3FKA6CXJNBWY7,B003O6EB70,{'Format:': ' Video Game'},DJ Nimbus aka Seth/Public Relations,"amazing! love it! fast prompt! amazing, must buy, 6 stars all the way golwing review!~ buy from this seller and the items from them!",amazing! love it,1446163200,
5,TRUE,"10 28, 2015",A3D769VYNLD80J,B003O6EB70,{'Format:': ' Video Game'},Mark Slothower,all gone game but me died not understand try again how me alive for final.,Five Stars,1445990400,
5,TRUE,"10 26, 2015",A3B8T3HEJ650JJ,B003O6EB70,{'Format:': ' Video Game'},Kevin Aguado,Real good.,Five Stars,1445817600,
5,TRUE,"10 17, 2015",A1IK1ERXXES4T6,B003O6EB70,{'Format:': ' Video Game'},Dustin,Nephew loved the game.,Five Stars,1445040000,
5,FALSE,"10 11, 2015",A2JWDCKY15R8WB,B003O6EB70,{'Format:': ' Video Game'},Joshua,"BioShock : Infinite is one of the best games I've ever played. It has perfect story, characters, gameplay, music, graphics, and voice acting.

The games themes are redemption, salvation, and freedom.

The gunplay is smooth and near perfect (set the controller to Marksman) and the plasmids are useful but not then main focus of of combat.

Spoiler Alert!

I'm gonna explain the ending to you.

Elizabeth regains her ability to create Tears to where ever she wants to go and she can see all the choices past and present.

She shows Booker what he could become and what he did to her.

Unlike the other Bookers who either never made it to the end or accepted the baptism and became Comstock, he refuses the baptism and feels grief for his actions.

Booker lets Elizabeth drown him in the baptismal river to prevent Comstock from ever existing.

All things made by Zachary Comstock disappear and all things made by Booker Dewitt remain.

All of the other Elizabeths disappear because they were products of Comstock,

At the post credits scene Booker wakes up in 1893 New York and into a room with a cribs where you can hear a baby crying.

This means that there is Anna Dewitt and her alter ego Elzabeth Dewitt, just in different time periods.

This is probably one of my favorite endings in any medium, whether if tv series, moive, book, or video game.

Also another note to the fans of this game, don't play Burial At Sea or buy any of the other content for the game.

The extra content isn't worth even having and Burial At Sea has so many plotholes that it can't be counted as canon to BioShock, BioShock 2, or BioShock : Infinite.

Think of it as an alternate ending, like the alternate ending of",Infinite is one of the best games I've ever played,1444521600,
5,TRUE,"10 10, 2015",A22ONC1QB0HWEF,B003O6EB70,{'Format:': ' Video Game'},mock 90,"I never played bioshock 1 or 2, this one is my first bioshock experience and i can see why this game series has a cult following. If you like shooters and magical powers and a great story line, this is the game for you.",first time playing bioshock and this game rocks,1444435200,
5,TRUE,"09 26, 2015",AJZM31A3ZUDEP,B003O6EB70,{'Format:': ' Video Game'},PenAndInk,I can not tell you how much I adore this game! It has become the game for which I measure all games! I highly (HIGHLY) recommend! The story line and game play are perfect!,LOOOOOOOOVVVVEEEEE,1443225600,
5,TRUE,"09 21, 2015",A1EFNPIGV1I91Z,B003O6EB70,{'Format:': ' Video Game'},FiAtPortland,It's Bioshock - what's not to love?  Give it a try :),<3 Bioshock,1442793600,
2,TRUE,"09 21, 2015",A29XHOPXY6DDA1,B003O6EB70,{'Format:': ' Video Game'},Keana,This game is bad.,Two Stars,1442793600,
5,TRUE,"07 22, 2013",A267CON30U6W0X,B003O6E67A,{'Format:': ' Video Game'},Guja,"this a great game campaign is great, the idea of weapons are great, multiplayer is great, i really liked this game.",great,1374451200,
5,TRUE,"07 18, 2013",AM3UEQQS1ODI5,B003O6E67A,{'Format:': ' Video Game'},Grant W.,Resistance 3 continues in the Resistance series as a fun game.  Some of the attack strategies can be a bit hard to figure out.,Resistance 3 in 3D is Great,1374105600,
5,TRUE,"07 11, 2013",AFN0AEQMEKQC3,B003O6E67A,{'Format:': ' Video Game'},michael young,great game ok graphics I only play shooter games and sports I have the first to now I got all3,resistance  3,1373500800,
4,TRUE,"07 11, 2013",A3HG8N8TWRV10G,B003O6E67A,{'Format:': ' Video Game'},Matthew,Very good game. I like how it is different from the usual military shooter. I like the fact you can do split screen; That's my favorite part about this game.,Great game!,1373500800,
